begintime,managedelement,eutrancellfdd,CSFB Preparation Success Rate,Inter- Frequency HO Out Success Rate,Intra- Frequency HO Out Success Rate,Downlink Traffic Volume,Uplink Traffic Volume,EUtran Cell Availability,ERAB_Drop_%,ERAB_Drop_Enb%,ERAB_Drop_MME%,S1 Signalling Establishment Success Rate,E-RAB Establishment Success Rate,Cell Downlink Average Throughput (mbit/s),Cell Uplink Average Throughput (mbit/s),RACH Success Rate,InterRat HO Out Success Rate (LTE to WCDMA),RAN Data Retainability,MCS,CQI,DL Data PDCP Packet Loss Rate,UL Data PDCP Packet Loss Rate,LATENCY,Data Calls to GSM/WCDMA Rate,VOLTE Retainability,VOLTE DL Data PDCP Packet Loss Rate,VOLTE UL Data PDCP Packet Loss Rate,VOLTE QCI1 E-RAB Establishment Success Rate,SRVCC SR-2G,SRVCC SR-3G,VOLTE Drop Rate,VOLTE Drop,Volte E-RAB Att,VOLTE Avg Users,Volte ERAB Att,EARLANG Traffic,VOLTE QCI5 E-RAB Establishment Success Rate,RE-EST SR (All QCI),RE-EST SR (QCI-1),RE-EST ATT (QCI-1),RE-EST ATT (All QCI),INTRA FREQ HO PREP#,INTER FREQ HO PREP#,INTRA FREQ HO PREP SR,INTER FREQ HO PREP SR,RRC REJECT#,DLPDCP Average User Throughput,ULPDCP Average User Throughput,PRB Utilization_DL,PRB Utilization_UL,UL_RSSI_WEIGHT_DBM_PUCCH,UL_RSSI_WEIGHT_DBM_PUSCH,BLER_UL,Maximum Connected User Number,Maximum DL Traffic Volume (kbit/s),Avg User,S1 based HO Success Rate,BLER_DL,Maximum UL Traffic Volume (kbit/s),RRC Setup Attempt,MIMO Transmission Rank 2 Rate,X2 based HO Success Rate,RRC Setup Success Rate Bin
2020-09-18,SOBTKL,SOBTKA2L,,,,0.1068115234375,0.0496826171875,100.0,0.0,0.0,0.0,100.0,100.0,4201.68,5340.8,100.0,,0.0,24.394,14.927,0.0,0.0,1.698,0.0,,,,,,,,0,0,0.0,0,0.0,,,,0,0,0,0,,,0,24865.6,9528.0,0.3709380555555556,4.602609444444444,-114.708972,-114.343092,0.038,1,214,0.06555555555555556,,0.016,140,16,,,1
2020-09-18,SILOSL,SILOS32L,,100.0,100.0,2.3775634765625,0.22412109375,100.0,0.0,0.0,0.0,100.0,100.0,14736.18,174240.03,100.0,,0.0,12.064,11.718,0.0,0.0,91.655,0.0,,,,,,,,0,0,0.0,0,0.0,100.0,,,0,0,0,0,100.0,100.0,0,20459.02,725.4,1.3724922294433457,4.606578411980785,-119.204527,-118.290674,0.066,2,2844,0.1238888888888889,,0.399,169,23,39.166,100.0,1
2020-09-18,SOBTKL,SOBTKD2L,,,,202.005859375,18.653564453125,100.0,0.0,0.0,0.0,100.0,100.0,181676.19,54459.68,100.0,,0.0,24.033,13.665,0.0,0.0,1.198,0.0,,,,,,,,0,0,0.0,0,0.0,,,,0,0,0,0,,,0,80174.05,43126.27,0.8839041666666667,4.748165277777778,-112.74326,-113.47612,0.008,1,53220,0.8930555555555556,,0.107,46860,46,99.703,,1
2020-09-18,INBASVL,INBASVL44,,,,0.2349853515625,0.043701171875,100.0,0.0,0.0,0.0,100.0,100.0,19662.23,17225.55,100.0,,0.0,23.235,14.485,0.0,0.0,2.0,0.0,,,,,,,,0,0,0.0,0,0.0,,,,0,0,0,0,,,0,76048.0,5052.21,0.2843030555555556,4.602534444444444,-114.76398,-115.49901,0.013,1,1630,0.10527777777777778,,0.006,123,27,,,1
2020-09-18,ULAKBL,ULAKB72L,,,,0.0,0.0,100.0,0.0,0.0,0.0,100.0,100.0,,,100.0,,0.0,9.802,11.748,,,,0.0,,,,,,,,0,0,0.0,0,0.0,,,,0,0,0,0,,,0,,,0.3034236111111111,4.614935555555555,-118.149697,-117.321177,0.015,1,0,0.014444444444444444,,0.003,0,665,,,1
2020-09-18,SILOSL,SILOS21L,100.0,40.0,61.111,519.550537109375,19.2174072265625,100.0,2.236,0.0,2.236,99.237,99.8,69494.31,13349.99,10.36535303776683,100.0,2.236,17.041,11.625,0.0,0.0,32.434,23.4987,100.0,0.0,0.0,100.0,,,0.0,0,2,0.0,2,0.002,99.05,93.47826086956522,,0,46,6,3,66.66666666666667,40.0,0,27357.93,1033.12,5.327320712065555,7.153697089573326,-116.869805,-119.709798,0.123,8,60876,3.16,66.6667,0.144,1974,394,47.637,100.0,0
2020-09-18,SILTEL,SILTE21L,100.0,18.75,25.926,2197.891845703125,1366.361328125,100.0,1.245,0.099,1.149,99.873,98.94,42639.25,17724.45,69.05606813342796,96.97,1.245,16.516,11.517,0.0,0.0,1.885,17.7003,100.0,0.0,0.0,100.0,,,0.0,0,2,0.0,2,0.009,98.8,86.95652173913044,,0,46,9,6,66.66666666666667,62.5,0,11197.36,3396.76,34.30752189884148,53.30401469341622,-112.418913,-116.010209,0.09,15,56083,8.58611111111111,21.7391,0.118,6098,823,69.059,,0
2020-09-18,ASELYL,ASELY02L,,,,0.0496826171875,0.0074462890625,100.0,0.0,0.0,0.0,100.0,100.0,5492.52,5335.1,99.16666666666667,,0.0,21.998,11.314,0.0,0.0,1.59,0.0,,,,,,,,0,0,0.0,0,0.0,,,,0,0,0,0,,,0,,,0.3359216666666667,4.620536944444444,-116.532453,-117.33824,0.006,3,7,1.8466666666666667,,0.092,4,117,,,1
2020-09-18,INBASL,INBASGL71,,,100.0,0.0152587890625,0.009765625,100.0,0.0,0.0,0.0,100.0,100.0,2097.85,2691.02,40.0,,0.0,25.085,14.23,0.0,0.0,2.0,0.0,,,,,,,,0,0,0.0,0,0.0,,,,0,0,0,0,100.0,,0,,,0.5661433333333333,5.200687222222222,-118.277225,-118.230392,0.089,1,86,0.004722222222222222,,0.041,47,1,,,1
2020-09-18,SOBTKL,SOBTKG2L,,,100.0,0.0010986328125,0.0010986328125,100.0,,,,100.0,100.0,2291.64,3744.0,100.0,,,5.176,7.607,0.0,0.0,1.167,,,,,,,,,0,0,0.0,0,0.0,,,,0,0,0,0,100.0,,0,,,0.3703372222222222,4.600129444444445,-113.616128,-112.866123,0.42,0,9,0.0,100.0,0.533,9,2,,,1
